key,mg
point10.1,"Eo amin'ny farany ambany amin'ny mailaka, misy rohy mankany amin'ny ""Mandehana any amin'ny takelaka""; na izany aza, voafetra ny fidirana amin'ny takelaka fototra. Azafady mba avereno jerena ny angon-drakitrao na valio Ny fanehoan-kevitra Amin'ny Alàlan'ny Fangatahana Misokatra."
point11,"Tsindrio ny bokotra"" Open Request "" ao amin'ny hafatra mailaka."
point12,Hisokatra ny varavarankelin'ny navigateur internet vaovao miaraka amin'ny fanamboarana endrika ho an'ny fidirana tsirairay (Sary 5)
point13,Avereno jerena ireo saha BFO ary fenoy ireo saha azo ovaina.
point14,Tsindrio manaraka eo amin'ny farany ambany amin'ny efijery mba hivezivezy amin'ny fidirana tsirairay izay mila havaozina.
point15,"Mba hialana amin'ny fidirana (ohatra, raha mbola tsy azonao antoka izay valiny hofidiana) tsindrio ""Next"" nefa tsy manao safidy ao amin'ny tsanganana azo ovaina. Hiseho ny fidirana manaraka izay mila havaozina."
point16,"Raha mila mivoaka ny pejy ianao na mijanona alohan'ny hanavaozana ny fidirana rehetra dia tokony hotehirizina ny safidinao amin'ny fotoana hanokafanao indray ny fangatahana. Rehefa manokatra hanohy dia tsindrio fotsiny Ny ""Next"" mandra-pahitanao fidirana mila havaozina."
point17,"Rehefa tonga amin'ny fidirana farany ianao dia tsindrio ""Vita"". Hisy hafatra mipoitra hanontany raha Toa ianao ka 'Vonona ny handefa ny fanavaozanao?’:"
point17.1,"Tsindrio ""Miverena"" raha mila mandinika ianao"
point17.2,"Kitiho ny ""Alefaso Ny Fanavaozana"" mba handefasana ny fanavaozanao."
point17.3,Ny fanavaozanao dia ampidirina ho azy amin'ny rakitra reference ary azonao jerena Amin'ny Fomba Fijery Mavitrika
p2,"Raha sendra misy lesoka ianao amin'ny fotoana rehetra, manana fanontaniana, na mila fanohanana amin'ny fanavaozana ireo rakitra referansa, azafady mba mifandraisa aminay amin'ny barefootinfo@barefootocean.org."
fig4,"Sary 4: Ohatra ""Fangatahana Fanavaozana"" mailaka rehefa mila ahitsy ny fampahalalana na mila valiana ny fanehoan-kevitra."
table1,"Tabilao 1: ny saha voalohany ao amin'ny rakitra referansa tsirairay. Ny karazana saha "" bfo "" dia tantanan'ny Barefoot Ocean ary tsy azo ovaina. Mba hangataka fanovana amin'ny iray amin'ireo saha"" BFO"", azafady avelao ny fanehoan-kevitra. Ny saha misy karazana saha ""azo ovaina"" ihany no azo ovaina. Ny karazana saha ""auto"" dia mipetraka ho azy."
t1.1,Anaran'ny saha
t1.2,Famaritana ny saha
t1.3,Karazana saha
t1.4,Ny rakitra referansa rehetra
t1.5,"Ity tsanganana ity dia mitahiry ny fanehoan-kevitra farany natao ho an'io laharana io. Raha hijery ny fifanakalozan-kevitra manontolo momba ny fanehoan-kevitra momba an'io laharana io, tsindrio fotsiny na aiza na aiza eo amin'ny laharana. Hiseho ny tontonana antsipiriany, toy ny Hita Ao amin'ny Sary 3. Tsindrio ny tabilao"" Comments "" raha hijery ny fanehoan-kevitra rehetra momba an'io laharana io."
t1.6,fiara
t1.7,azo ovaina
t1.8,Daty fanovana farany
t1.9,Mpampiasa nanao ny fanovana farany
t1.10,"Iso country code, izay kaody fampifangaroana litera ekena iraisam-pirenena"
t1.11,"Anaran'ny admin1, ny ambaratonga ambony indrindra amin'ny fitantanana aorian'ny firenena (izany hoe faritany) tsy misy toerana sy tsy misy mari-piatoana, dia manasongadina fotsiny"
t1.12,"Anaran'ny admin1, ny ambaratonga ambony indrindra amin'ny fitantanana aorian'ny firenena (izany hoe faritany) miaraka amin'ny toerana sy ny mari-piatoana. Aza manova ny marika raha tsy tena ilaina, satria mifototra amin'izany ny fidirana."
t1.13,"Ho mena ny sainam-pirenena raha tsy misy ny sanda"" mpiara-miasa "" ao amin'ny org_ref"
t1.14,"Anaran'ny mpiara-miasa tsy misy toerana ary tsy misy mari-piatoana, manasongadina fotsiny. Ny lisitry ny fihenam-bidy dia mifandray amin'ny tsanganana ""anarana"" ao amin'ny org_ref."
t1.15,"Safidio Ny "" Eny "" raha angonina ao ny angona. Raha tsy manangona angon-drakitra any intsony ianao, ary te hanafina izany amin'ny Kobo dropdown, safidio Ny ""Tsia.”"
t1.16,"Safidio Ny "" Eny "" raha te hanala ny admin1 ianao. Admin1s dia tokony hesorina raha tsy diso ny anarana na dika mitovy amin'ny firaketana efa misy. Azafady mba avelao ny fanehoan-kevitra momba ny antony fanesorana. Raha tsy angonina any intsony ny angona dia safidio ny ""Tsia"" amin'ny tsanganana ""active""."
t1.18,"Ny anaran'ny admin2, ny ambaratonga ambony indrindra aorian'ny admin1 (izany hoe distrika) tsy misy toerana sy tsy misy mari-piatoana, dia manasongadina fotsiny"
t1.19,"Anaran'ny admin2, ny ambaratonga ambony indrindra aorian'ny admin1 (izany hoe distrika) miaraka amin'ny toerana sy ny mari-piatoana. Aza manova ny marika raha tsy tena ilaina, satria mifototra amin'izany ny fidirana."
t1.20,"Ho mena ny sainam-pirenena raha tsy misy ny sanda ""admin1_ref_name"" ao amin'ny admin1_ref"
t1.21,"Anarana Admin1 tsy misy toerana ary tsy misy mari-piatoana, manasongadina fotsiny. Ny lisitry ny fihenam-bidy dia mifandray amin'ny tsanganana ""anarana"" ao amin'ny admin1_ref."
t1.23,"Safidio Ny "" Eny "" raha tianao ny manala ny admin2. Admin2s dia tokony hesorina raha tsy diso ny anarana na dika mitovy amin'ny firaketana efa misy. Azafady mba avelao ny fanehoan-kevitra momba ny antony fanesorana. Raha tsy angonina any intsony ny angona dia safidio ny ""Tsia"" amin'ny tsanganana ""active""."
t1.25,"Ny anarana Admin2 sy admin3 dia mitambatra tsy misy toerana ary tsy misy mari-piatoana, fa manasongadina fotsiny.Ny admin3 no ambaratonga ambony indrindra aorian'ny admin2 (izany hoe vohitra)."
t1.26,"Anaran'ny admin3, ny ambaratonga ambony indrindra aorian'ny admin2 (izany hoe vohitra) miaraka amin'ny toerana sy ny mari-piatoana. Aza manova ny marika raha tsy tena ilaina, satria mifototra amin'izany ny fidirana."
t1.27,Anarana Admin1 miaraka amin'ny toerana sy mari-piatoana azo atao. Izany dia nalaina avy amin'ny admin1_ref sy auto populated mifototra amin'ny admin2 voafidy.
t1.28,"Anarana Admin1 tsy misy toerana ary tsy misy mari-piatoana, manasongadina fotsiny. Izany dia nalaina avy amin'ny admin1_ref sy auto populated mifototra amin'ny admin2 voafidy"
t1.29,"Ho mena ny sainam-pirenena raha tsy misy ny sanda"" admin2 "" ao amin'ny admin2_ref."
t1.30,"Anarana Admin2 miaraka amin'ny toerana sy mari-piatoana azo atao. Ny lisitry ny fihenam-bidy dia mifandray amin'ny tsanganana ""label"" ao amin'ny admin2_ref."
t1.31,"Anarana Admin2 tsy misy toerana ary tsy misy mari-piatoana, manasongadina fotsiny. Izany dia nalaina avy amin'ny admin2_ref sy auto populated mifototra amin'ny admin2 voafidy."
t1.33,"Safidio Ny "" Eny "" raha te hanala ny admin3 ianao. Admin3s dia tokony hesorina raha tsy diso ny anarana na dika mitovy amin'ny firaketana efa misy. Azafady mba avelao ny fanehoan-kevitra momba ny antony fanesorana. Raha tsy angonina any intsony ny angona dia safidio ny ""Tsia"" amin'ny tsanganana ""active""."
t1.34,Latitude amin'ny admin3
t1.35,Ny halavan'ny admin3
t1.36,Hojerena ny sainam-pirenena raha tsy misy ny management_ID_1-4 ao amin'ny management_ref.
t1.37,"Anaran'ny id fitantanana, miaraka amin'ny toerana sy mari-piatoana azo atao. Raha misy faritra fitantanana 4 ao anatin'ny admin3, safidio fotsiny ny singa fitantanana voalohany ao amin'ny ""management_ID_1"", ny singa fitantanana faharoa ao amin'ny ""management_ID_2"", sns. Ny lisitry ny fihenam-bidy dia mifandray amin'ny tsanganana ""management_ID"" ao amin'ny management_ref."
t1.38,Eny/Tsy misy saha mamantatra raha tompon'andraikitra amin'ny fitantanana ny faritra ny tanàna.
t1.40,"Anaran'ny mpividy tsy misy toerana ary tsy misy mari-piatoana, manasongadina fotsiny"
t1.41,"Anaran'ny mpividy misy toerana sy mari-piatoana azo atao. Aza manova ny marika raha tsy tena ilaina, satria mifototra amin'izany ny fidirana."
t1.42,"Ny maha-lahy na maha-VAVY ny mpividy; M (lahy), F (vavy) Na NB (tsy binary)"
t1.43,"Id isa tokana hamantarana ny mpividy. Azafady avelao ny fanehoan-kevitra raha toa ka manana ID MITOVY ny mpividy roa samy hafa. Amin'ny alàlan'ny default, mpividy roa manana anarana mitovy, na dia avy amin'ny tanàna roa samy hafa aza izy ireo, dia hahazo NY ID mitovy raha tsy misy filazana hafa."
t1.44,"Anarana Admin1 izay ividianan'ny mpividy, miaraka amin'ny toerana sy ny mari-piatoana. Izany dia nalaina avy amin'ny admin1_ref sy auto populated mifototra amin'ny admin3_ref_name voafidy."
t1.45,"Anarana Admin2 izay ividianan'ny mpividy, miaraka amin'ny toerana sy ny mari-piatoana. Izany dia nalaina avy amin'ny admin2_ref sy auto populated mifototra amin'ny admin3_ref_name voafidy."
t1.46,"Anarana Admin3 izay ividianan'ny mpividy, miaraka amin'ny toerana sy ny mari-piatoana. Izany dia nalaina avy amin'ny admin3_ref sy auto populated mifototra amin'ny admin3_ref_name voafidy."
t1.47,"Ny anarana Admin2 sy admin3 dia mitambatra tsy misy toerana ary tsy misy mari-piatoana, fa manasongadina fotsiny.Ny lisitry ny fihenam-bidy dia mifandray amin'ny tsanganana ""anarana"" ao amin'ny admin3_ref."
t1.48,"Ho mena ny sainam-pirenena raha tsy misy ny sanda"" admin3_ref_name "" ao amin'ny admin3_ref."
t1.49,"Safidio Ny "" Eny "" raha angonina amin'izao fotoana izao ny angona avy amin'ity olona ity. Raha tsy angonina avy amin'ity olona ity intsony ny angona, ary te hanafina izany amin'ny Kobo dropdown ianao dia safidio Ny ""Tsia.”"
t1.50,"Safidio Ny "" Eny "" raha te hanala ny mpividy ianao. Ny mpividy dia tokony hesorina raha tsy diso ny anarana na dika mitovy amin'ny firaketana efa misy. Azafady mba avelao ny fanehoan-kevitra momba ny antony fanesorana. Raha tsy ao an-tanàna intsony ny mpividy na tsy mividy intsony dia safidio ny ""Tsia"" amin'ny tsanganana ""active""."
t1.52,"Anaran'ny mpanjono tsy misy toerana ary tsy misy mari-piatoana, manasongadina fotsiny"
t1.53,"Anaran'ny mpanjono misy toerana sy mari-piatoana azo atao. Aza manova ny marika raha tsy tena ilaina, satria mifototra amin'izany ny fidirana."
t1.54,"Ny lahy sy ny vavy amin'ny mpanjono; M (lahy), f (vavy) Na NB (tsy binary)"
t1.55,"Id isa tokana hamantarana ny mpanjono. Azafady mba avelao ny fanehoan-kevitra raha toa ka mitovy NY ID ny mpanjono roa samy hafa. Amin'ny alàlan'ny default, mpanjono roa manana anarana mitovy, na dia avy amin'ny tanàna roa samy hafa aza izy ireo, dia hahazo NY KARAPANONDRO mitovy raha tsy misy filazana hafa."
t1.56,"Anarana Admin1 izay ahazoan'ny mpanjono ny hazandranony, miaraka amin'ny toerana sy ny mari-piatoana azo atao. Izany dia nalaina avy amin'ny admin1_ref sy auto populated mifototra amin'ny admin3_ref_name voafidy."
t1.57,"Anarana Admin2 izay ahazoan'ny mpanjono ny hazandranony, miaraka amin'ny toerana sy ny mari-piatoana azo atao. Izany dia nalaina avy amin'ny admin2_ref sy auto populated mifototra amin'ny admin3_ref_name voafidy."
t1.58,"Anarana Admin3 izay ahazoan'ny mpanjono ny hazandranony, miaraka amin'ny toerana sy ny mari-piatoana azo atao. Izany dia nalaina avy amin'ny admin3_ref sy auto populated mifototra amin'ny admin3_ref_name voafidy."
t1.62,"Safidio Ny "" Eny "" raha te hanala ny admin3 ianao. Admin3s dia tokony hesorina raha tsy diso ny anarana na dika mitovy amin'ny firaketana efa misy. Azafady mba avelao ny fanehoan-kevitra momba ny antony fanesorana. Raha tsy ao an-tanàna intsony ilay mpanjono na tsy manjono intsony dia safidio ny ""Tsia"" amin'ny tsanganana ""active""."
t1.64,"Anaran'ny mpanangona angon-drakitra tsy misy toerana ary tsy misy mari-piatoana, manasongadina fotsiny"
t1.65,Anaran'ny mpanangona angon-drakitra misy toerana sy mari-piatoana azo atao.
t1.66,"Ny maha-lahy na maha-VAVY ny mpanangona angon-drakitra; M (lahy), F (vavy) Na NB (tsy binary)"
t1.69,"Safidio Ny "" Eny "" raha tianao hiseho ao amin'ny dropdown ny mpanangona data ho an'ny endrika fanaraha-maso kobo landings."
t1.70,"Safidio Ny ""Eny"" raha tianao hiseho ao amin'ny dropdown ny mpanangona data ho an'ny endrika mombamomba ny kobo landings"
t1.71,"Safidio Ny ""Eny"" raha tianao hiseho ao amin'ny dropdown ny mpanangona data ho an'ny endrika fanadihadiana ao An-tokantrano kobo"
t1.72,"Safidio Ny ""Eny"" raha tianao hiseho ao amin'ny dropdown ny mpanangona data ho an'ny endrika mombamomba ny vondrom-piarahamonina Kobo"
t1.73,"Safidio Ny "" Eny "" raha te hanala ny mpanangona data ianao."
t1.75,"Anaran'ny toeram-panjonoana tsy misy toerana sy mari-piatoana, manasongadina fotsiny"
t1.76,"Anaran'ny toeram-panjonoana misy toerana sy mari-piatoana. Aza manova ny marika raha tsy tena ilaina, satria mifototra amin'izany ny fidirana."
t1.81,Latitude amin'ny toeram-panjonoana
t1.82,Longitude ny toeram-panjonoana
t1.83,"Safidio Ny "" Eny "" raha ampiasaina amin'izao fotoana izao ny toeram-panjonoana. Raha te hanafina azy amin'ny Kobo dropdown ianao na tsy ampiasaina intsony dia safidio Ny ""Tsia.”"
t1.84,"Safidio Ny "" Eny "" raha te hanala ny toeram-panjonoana ianao"
t1.85,"Anarana eo an-toerana ny fitaovana tsy misy toerana sy tsy misy mari-piatoana, manasongadina fotsiny"
t1.86,"Anarana eo an-toerana amin'ny fitaovana misy toerana sy mari-piatoana azo atao. Aza manova ny marika raha tsy tena ilaina, satria mifototra amin'izany ny fidirana."
t1.87,"Ny anarana anglisy amin'ny fitaovana tsy misy toerana sy tsy misy mari-piatoana, dia manasongadina fotsiny. Lisitry ny fihenam-bidy efa voafaritra mialoha ity. Misafidiana iray izay mifanaraka tsara amin'ny fitaovana eo an-toerana, na maneho hevitra raha tsy azonao antoka."
t1.88,Famaritana ny fitaovana
t1.89,"Ny vondrona karazana no lasibatry ny fitaovana. Raha mikendry karazana maro ny fitaovana iray, dia mamorona laharana vaovao ho an'ny vondrona karazany tsirairay. Ny lisitry ny fihenam-bidy dia mifandray amin'ny tsanganana ""species_group"" ao amin'ny species_ref."
t1.90,"Ho mena ny sainam-pirenena raha tsy misy ny"" species_group "" voafidy ao amin'ny species_ref."
t1.93,"Safidio Ny "" Eny "" raha te hanala ny fitaovana ianao. Azafady mba avelao ny fanehoan-kevitra manazava ny antony."
t1.95,"Anaran'ny toerana fipetrahana tsy misy toerana ary tsy misy mari-piatoana, manasongadina fotsiny"
t1.96,Anaran'ny toerana fiantsonana misy toerana sy mari-piatoana azo atao
t1.99,"Safidio ny"" Eny "" raha te hanala ny toerana misy anao ianao."
t1.103,"Anarana tsy manam-paharoa amin'ny faritra fitantanana misy toerana sy mari-piatoana azo atao. Aza manova ny anarana raha tsy tena ilaina, satria mifototra amin'izany ny fidirana."
t1.104,"Anarana tsy manam-paharoa amin'ny faritra fitantanana sy daty fanakatonana. Tokony ho ny management_id tsy misy toerana na mari-piatoana miaraka amin'ny isa izay mamaritra ny fanakatonana tokana amin'io faritra io. Ohatra, raha manana daty fanakatonana roa mifandraika amin'izany ny management_id antsoina Hoe Boston, dia hanana saha management_id_unique roa isika. Ny iray dia Mety Ho Boston_1 ary Ny Iray Hafa Boston_2 hamantarana ny fanakatonana ao anatin'ny faritra fitantanana."
t1.105,Ny lisitry ny toeram-panjonoana mifandraika amin'ny datin'ny management_id sy ny fanakatonana.
t1.106,"Ny karazana fomba fitantanana, anisan'izany ny fanakatonana vonjimaika, tsy misy faritra fandraisana, sns. Ity dia lisitra efa voafaritra mialoha. Azafady mba manehoa hevitra raha tsy azonao antoka."
t1.107,Karazana kendrena ho an'ny faritra tantanana. Mety ho vondrona karazana na karazana siantifika izany. Misokatra ny saha.
t1.108,Toerana kendrena ho an'ny faritra tantanana
t1.109,Haben'ny faritra tantanana refesina amin'ny hektara (ha)
t1.110,Daty famaranana ny faritra tantanana
t1.111,Daty fanokafana ny faritra tantanana
t1.112,Latitude ny faritra fitantanana
t1.113,Longitude ny faritra fitantanana
t1.114,"Safidio Ny "" Eny "" raha te hanala ny id fitantanana ianao."
t1.116,"Anaran'ny mpiara-miasa/fikambanana tsy misy toerana ary tsy misy mari-piatoana, manasongadina fotsiny"
t1.117,"Anaran'ny mpiara-miasa/fikambanana misy toerana sy mari-piatoana azo atao. Aza manova ny marika raha tsy tena ilaina, satria mifototra amin'izany ny fidirana."
t1.118,"Manangona angon-drakitra momba ny karazana vondrona ny mpiara-miasa. Ny lisitry ny fihenam-bidy dia mifandray amin'ny tsanganana ""species_group"" ao amin'ny species_ref. Safidio ny vondrona rehetra raha tiany hiseho ny karazana rehetra ao amin'ny species_ref."
t1.119,"Safidio Ny "" Eny "" raha manangona angona ny mpiara-miasa amin'izao fotoana izao. Raha te hanafina izany amin'ny Kobo dropdown ianao na tsy manangona angona intsony dia safidio Ny ""Tsia.”"
t1.120,"Safidio Ny "" Eny "" raha te hanala ny mpiara-miasa/fikambanana ianao"
t1.122,"Anaran'ny mpiara-miasa tsy misy toerana na mari-piatoana, manasongadina fotsiny. Ny mpiara-miasa no manivana ny fihenan'ny karazany. Misy firenena sasany manana mpiara-miasa maro izay mizara lisitry ny karazany. Amin'izay dia ho hitanao ny kaody firenena fa tsy ny mpiara-miasa, ary ny lisitry ny karazana iray manontolo dia haseho ho an'ny mpiara-miasa rehetra ao amin'io firenena io, raha tsy hoe misy vondrona karazana voafaritra ao amin'ny tsanganana ""species_group"" ao amin'ny org_ref."
t1.123,Karazana toeram-ponenana mifandray amin'ny karazany
t1.124,"Anarana sy anaran'ny karazany eo an-toerana miaraka amin'ny tsipika ambany, tsy misy mari-piatoana na toerana hafa."
t1.125,Anarana eo an-toerana miaraka amin'ny anaran'ny karazany eo amin'ny fononteny
t1.126,"Ireo karazany voasokajy ho vondrona mifototra amin'ny biolojian'izy ireo tsy misy toerana na mari-piatoana, dia manasongadina fotsiny. Ity saha ity dia ampiasaina hanampiana amin'ny sivana safidy valiny sasany ao Amin'ny kobo."
t1.127,"Ho mena ny sainam-pirenena raha tsy voatonona ao amin'ny gear_ref ny ""species_group"" voafidy. Midika izany fa ny fitaovana rehetra voatanisa ao amin'ny gear_ref dia hiseho ho an'ity vondrona karazana ity. Mba hampisehoana fotsiny ireo fitaovana mikendry ity vondrona karazana ity, azafady ampio ny vondrona karazana amin'ny gear_ref."
t1.128,Anaran'ny karazana eo an-toerana miaraka amin'ny toerana sy mari-piatoana azo atao
t1.129,"Anaran'ny admin2 tsy misy toerana na mari-piatoana, manasongadina fotsiny. Ny lisitry ny fihenam-bidy dia mifandray amin'ny tsanganana ""anarana"" ao amin'ny admin2_ref. *Ity saha ity dia hampiseho ho an'ny mpiara-miombon'antoka izay maniry ny fihenan'ny karazana voasivan'ny admin2 voafidy.*"
t1.130,Anarana iombonana amin'ny teny anglisy miaraka amin'ny toerana sy ny mari-piatoana
t1.131,Anaran'ny fianakaviana amin'ny karazana iray misy toerana sy mari-piatoana azo atao
t1.132,"Anarana siantifika amin'ny karazana misy habaka sy mari-piatoana azo atao. Raha tsy fantatra ny karazany, dia azo ampidirina ao koa ny karazana na ny fianakaviana. Raha ny karazana ihany no fantatra, soraty ny anaran'ny karazana arahin'ny ""sp"" (mifanohitra amin'ny ""spp"" na sp.”). Raha ny fianakaviana ihany no fantatra dia soraty ny anaran'ny fianakaviana (Izany hoe lutjanidae)."
t1.133,"Safidio Ny "" Eny "" raha te hanala ireo karazana ianao."
t1.134,"Ny dikanteny anglisy ho an'ny"" add new"","" don't know"","" not for sale"", sns."
t1.135,"Ny fandikan-teny amin'ny fiteny country ho an'ny ""add new"", ""don't know"", ""not for sale"", sns."
t1.136,Ny taratasy fanovozan kevitra ny fandikan teny dia hiaraka amin'ny hiseho ao amin'ny dropdown mety ao Kobo
t1.138,"Anaran'ny mpiara-miasa tsy misy toerana na mari-piatoana, manasongadina fotsiny."
t1.139,Ny vidiny ambany indrindra mifototra amin'ny species_group
t1.140,Ny vidiny ambony indrindra mifototra amin'ny species_group
t1.141,"Mihatra amin'ny vondrona karazana ny fampitandremana min/max. Mba hanampiana vondrona vaovao, azafady mba maneho hevitra ary ampahafantaro ny bfo."
t1.142,Ny toeram-ponenana ampiharina amin'ny fampitandremana min/max.
t1.143,Vidiny isaky ny kilao na vidiny isaky ny olona (ny fampitandremana ny lanjan'ny karazana sy ny halavany dia ampiharina amin'ny faran'ny aoriana amin'ny alàlan'ny angona avy amin'ny literatiora)
faq,Fanontaniana Apetraka Matetika:
q1,"Raha vao manampy admin vaovao aho, hafiriana vao miseho ao amin'ny dropdown ho an'ny admin2?"
a1,"Haharitra 15 minitra eo ho eo vao misy fidirana vaovao ao amin'ny dynamic dropdowns. Izany dia mihatra amin'ny fihenan'ny admin2 ao amin'ny admin3_ref, ny fihenan'ny species_group ao amin'ny gear_ref, ny fihenan'ny admin3 ao amin'ny buyer_ref, fisher_ref, data_collector, sns. Jereo ny Sary 5 ho an'ny lisitra feno ny fihenan'ny dinamika sy ny fizotran'ny asany amin'ny alàlan'ny rakitra referansa."
q2,"Raha vao manampy na manavao rakitra reference aho, hafiriana vao miseho ny fanavaozana ao Amin'ny fanadihadiana Kobo?"
a2,Tokony hahita endrika kobo nohavaozina ianao ao anatin'ny 12-24 ora eo ho eo.
q3,"Ahoana no tokony hanoratana ny anaran'ny mpividy, mpanjono ary mpanangona angona?"
a3,"Raha ny tokony ho izy, ny anarana dia tokony ho tokana araka izay azo atao ho an'ny tsirairay ary ahitana ny anarany voalohany, ny anarany farany ary ny anaram-bosotra. Raha tsy te hizara ny anarany feno ny olona iray dia azonao atao koa ny mampiasa ny litera voalohany na voalohany amin'ny anarany farany."
fig5,Fifandraisana dynamic dropdown eo amin'ny rakitra reference.
